Step,LJ_Potential,Kinetic_Energy,Total_Energy
166,-0.091549,0.056627,-0.034922
167,-0.085297,0.050414,-0.034883
168,-0.079442,0.044574,-0.034868
169,-0.074166,0.039301,-0.034865
170,-0.069502,0.034636,-0.034866
171,-0.065419,0.030550,-0.034869
172,-0.061864,0.026991,-0.034873
173,-0.058781,0.023905,-0.034876
174,-0.056119,0.021239,-0.034879
175,-0.053832,0.018950,-0.034882
176,-0.051885,0.017001,-0.034884
177,-0.050248,0.015363,-0.034885
178,-0.048901,0.014014,-0.034886
179,-0.047827,0.012940,-0.034887
180,-0.047020,0.012132,-0.034887
181,-0.046476,0.011588,-0.034887
182,-0.046199,0.011313,-0.034887
183,-0.046202,0.011316,-0.034886
184,-0.046501,0.011617,-0.034884
185,-0.047122,0.012240,-0.034882
186,-0.048098,0.013218,-0.034880
187,-0.049471,0.014594,-0.034877
188,-0.051289,0.016415,-0.034874
189,-0.053602,0.018730,-0.034872
190,-0.056451,0.021578,-0.034873
191,-0.059836,0.024955,-0.034881
192,-0.063661,0.028755,-0.034905
193,-0.067602,0.032639,-0.034963
194,-0.070883,0.035799,-0.035084
195,-0.071933,0.036643,-0.035290
196,-0.068267,0.032753,-0.035515
197,-0.057882,0.022447,-0.035435
198,-0.043966,0.009247,-0.034719
199,-0.037749,0.003523,-0.034226
200,-0.045900,0.011027,-0.034872
201,-0.059553,0.024059,-0.035494
202,-0.068469,0.032982,-0.035487
203,-0.070780,0.035529,-0.035252
204,-0.068808,0.033747,-0.035061
205,-0.064908,0.029955,-0.034954
206,-0.060491,0.025588,-0.034903
207,-0.056234,0.021351,-0.034883
208,-0.052408,0.017531,-0.034876
209,-0.049087,0.014210,-0.034877
210,-0.046259,0.011380,-0.034879
211,-0.043881,0.008999,-0.034882
212,-0.041902,0.007017,-0.034885
213,-0.040274,0.005386,-0.034888
214,-0.038954,0.004064,-0.034890
215,-0.037909,0.003018,-0.034891
216,-0.037113,0.002221,-0.034893
217,-0.036547,0.001653,-0.034893
218,-0.036197,0.001303,-0.034894
219,-0.036058,0.001164,-0.034894
220,-0.036128,0.001234,-0.034894
221,-0.036411,0.001519,-0.034893
222,-0.036920,0.002028,-0.034892
223,-0.037671,0.002781,-0.034890
224,-0.038688,0.003800,-0.034888
225,-0.040002,0.005116,-0.034886
226,-0.041653,0.006770,-0.034883
227,-0.043688,0.008809,-0.034880
228,-0.046160,0.011284,-0.034877
229,-0.049121,0.014246,-0.034875
230,-0.052606,0.017729,-0.034877
231,-0.056596,0.021707,-0.034889
232,-0.060939,0.026017,-0.034922
233,-0.065192,0.030194,-0.034998
234,-0.068334,0.033185,-0.035150
235,-0.068417,0.033030,-0.035387
236,-0.062715,0.027143,-0.035572
237,-0.050193,0.014917,-0.035276
238,-0.037181,0.002757,-0.034425
239,-0.036086,0.001754,-0.034333
240,-0.048134,0.012957,-0.035177
241,-0.061279,0.025707,-0.035572
242,-0.067900,0.032478,-0.035422
243,-0.068389,0.033211,-0.035178
244,-0.065472,0.030457,-0.035014
245,-0.061236,0.026306,-0.034930
246,-0.056809,0.021917,-0.034892
247,-0.052694,0.017816,-0.034878
248,-0.049072,0.014197,-0.034875
249,-0.045975,0.011098,-0.034877
250,-0.043371,0.008491,-0.034880
251,-0.041210,0.006328,-0.034883
252,-0.039441,0.004555,-0.034886
253,-0.038016,0.003128,-0.034888
254,-0.036895,0.002004,-0.034890
255,-0.036046,0.001154,-0.034892
256,-0.035447,0.000554,-0.034893
257,-0.035079,0.000186,-0.034893
258,-0.034934,0.000041,-0.034894
259,-0.035007,0.000114,-0.034893
260,-0.035301,0.000408,-0.034893
261,-0.035824,0.000932,-0.034892
262,-0.036592,0.001701,-0.034891
263,-0.037625,0.002736,-0.034889
264,-0.038954,0.004067,-0.034886
265,-0.040616,0.005732,-0.034884
266,-0.042657,0.007777,-0.034880
267,-0.045129,0.010251,-0.034877
268,-0.048083,0.013208,-0.034875
269,-0.051559,0.016682,-0.034877
270,-0.055547,0.020661,-0.034887
271,-0.059920,0.025004,-0.034916
272,-0.064284,0.029299,-0.034985
273,-0.067711,0.032586,-0.035126
274,-0.068382,0.033027,-0.035355
275,-0.063597,0.028031,-0.035566
276,-0.051813,0.016454,-0.035358
277,-0.038161,0.003635,-0.034526
278,-0.035084,0.000820,-0.034263
279,-0.046088,0.011013,-0.035075
280,-0.059794,0.024229,-0.035565
281,-0.067378,0.031923,-0.035454
282,-0.068526,0.033321,-0.035206
283,-0.065928,0.030898,-0.035030
284,-0.061805,0.026868,-0.034937
285,-0.057395,0.022500,-0.034895
286,-0.053259,0.018380,-0.034879
287,-0.049608,0.014733,-0.034875
288,-0.046483,0.011607,-0.034876
289,-0.043860,0.008981,-0.034879
290,-0.041690,0.006807,-0.034882
291,-0.039918,0.005032,-0.034885
292,-0.038496,0.003608,-0.034888
293,-0.037383,0.002493,-0.034890
294,-0.036545,0.001654,-0.034891
295,-0.035959,0.001066,-0.034893
296,-0.035605,0.000712,-0.034893
297,-0.035472,0.000578,-0.034894
298,-0.035554,0.000660,-0.034894
299,-0.035852,0.000959,-0.034893
300,-0.036374,0.001481,-0.034892
301,-0.037131,0.002239,-0.034891
302,-0.038143,0.003253,-0.034889
303,-0.039437,0.004550,-0.034887
304,-0.041048,0.006163,-0.034885
305,-0.043019,0.008137,-0.034882
306,-0.045398,0.010520,-0.034878
307,-0.048238,0.013362,-0.034876
308,-0.051584,0.016708,-0.034876
309,-0.055443,0.020560,-0.034883
310,-0.059734,0.024829,-0.034905
311,-0.064164,0.029205,-0.034959
312,-0.068007,0.032934,-0.035073
313,-0.069763,0.034488,-0.035274
314,-0.066962,0.031449,-0.035513
