Step,LJ_Potential,Kinetic_Energy,Total_Energy
729,-0.064748,0.029281,-0.035467
730,-0.056056,0.020607,-0.035449
731,-0.043194,0.008333,-0.034862
732,-0.035732,0.001439,-0.034293
733,-0.041500,0.006752,-0.034748
734,-0.054293,0.018889,-0.035403
735,-0.063834,0.028345,-0.035488
736,-0.067067,0.031780,-0.035286
737,-0.065766,0.030672,-0.035094
738,-0.062255,0.027276,-0.034979
739,-0.058043,0.023121,-0.034922
740,-0.053898,0.019000,-0.034898
741,-0.050148,0.015259,-0.034889
742,-0.046900,0.012011,-0.034888
743,-0.044159,0.009269,-0.034890
744,-0.041894,0.007001,-0.034893
745,-0.040058,0.005163,-0.034895
746,-0.038608,0.003711,-0.034898
747,-0.037507,0.002607,-0.034900
748,-0.036724,0.001823,-0.034901
749,-0.036238,0.001336,-0.034902
750,-0.036036,0.001134,-0.034902
751,-0.036113,0.001211,-0.034902
752,-0.036471,0.001570,-0.034901
753,-0.037122,0.002222,-0.034900
754,-0.038083,0.003185,-0.034898
755,-0.039382,0.004486,-0.034896
756,-0.041054,0.006160,-0.034894
757,-0.043141,0.008250,-0.034891
758,-0.045689,0.010800,-0.034888
759,-0.048738,0.013850,-0.034888
760,-0.052301,0.017408,-0.034893
761,-0.056316,0.021406,-0.034911
762,-0.060551,0.025598,-0.034954
763,-0.064423,0.029378,-0.035046
764,-0.066711,0.031499,-0.035212
765,-0.065325,0.029894,-0.035431
766,-0.057963,0.022467,-0.035496
767,-0.045381,0.010358,-0.035024
768,-0.035820,0.001484,-0.034336
769,-0.038935,0.004346,-0.034589
770,-0.051306,0.015992,-0.035315
771,-0.062049,0.026538,-0.035511
772,-0.066509,0.031176,-0.035333
773,-0.065924,0.030796,-0.035128
774,-0.062704,0.027707,-0.034997
775,-0.058546,0.023615,-0.034930
776,-0.054345,0.019444,-0.034901
777,-0.050498,0.015608,-0.034890
778,-0.047145,0.012257,-0.034888
779,-0.044305,0.009416,-0.034889
780,-0.041950,0.007058,-0.034892
781,-0.040036,0.005141,-0.034895
782,-0.038518,0.003621,-0.034897
783,-0.037357,0.002458,-0.034899
784,-0.036522,0.001621,-0.034901
785,-0.035989,0.001088,-0.034902
786,-0.035745,0.000843,-0.034902
787,-0.035781,0.000879,-0.034902
788,-0.036100,0.001199,-0.034901
789,-0.036711,0.001811,-0.034900
790,-0.037631,0.002733,-0.034899
791,-0.038886,0.003990,-0.034896
792,-0.040510,0.005616,-0.034894
793,-0.042544,0.007653,-0.034891
794,-0.045034,0.010145,-0.034889
795,-0.048022,0.013134,-0.034888
796,-0.051525,0.016633,-0.034892
797,-0.055497,0.020590,-0.034907
798,-0.059737,0.024792,-0.034946
799,-0.063724,0.028695,-0.035029
800,-0.066342,0.031157,-0.035185
801,-0.065613,0.030209,-0.035403
802,-0.059141,0.023629,-0.035512
803,-0.046958,0.011834,-0.035124
804,-0.036268,0.001876,-0.034392
805,-0.037512,0.003018,-0.034495
806,-0.049314,0.014074,-0.035240
807,-0.060754,0.025236,-0.035517
808,-0.066068,0.030703,-0.035364
809,-0.066014,0.030862,-0.035152
810,-0.063026,0.028016,-0.035010
811,-0.058924,0.023987,-0.034936
812,-0.054695,0.019792,-0.034903
813,-0.050787,0.015896,-0.034891
814,-0.047363,0.012476,-0.034888
815,-0.044456,0.009567,-0.034889
816,-0.042039,0.007148,-0.034892
817,-0.040071,0.005176,-0.034894
818,-0.038505,0.003608,-0.034897
819,-0.037302,0.002403,-0.034899
820,-0.036429,0.001529,-0.034900
821,-0.035862,0.000961,-0.034901
822,-0.035586,0.000684,-0.034902
823,-0.035593,0.000691,-0.034902
824,-0.035882,0.000981,-0.034901
825,-0.036463,0.001563,-0.034900
826,-0.037352,0.002453,-0.034899
827,-0.038574,0.003677,-0.034897
828,-0.040161,0.005267,-0.034894
829,-0.042154,0.007263,-0.034891
830,-0.044600,0.009711,-0.034889
831,-0.047540,0.012652,-0.034888
832,-0.050997,0.016105,-0.034891
833,-0.054932,0.020027,-0.034905
834,-0.059167,0.024227,-0.034940
835,-0.063224,0.028206,-0.035018
836,-0.066059,0.030894,-0.035166
837,-0.065783,0.030401,-0.035382
838,-0.059966,0.024449,-0.035517
839,-0.048169,0.012976,-0.035192
840,-0.036790,0.002343,-0.034446
841,-0.036623,0.002191,-0.034433
842,-0.047851,0.012674,-0.035177
843,-0.059740,0.024223,-0.035517
844,-0.065701,0.030314,-0.035387
845,-0.066073,0.030902,-0.035170
846,-0.063278,0.028258,-0.035021
847,-0.059229,0.024288,-0.034941
848,-0.054984,0.020079,-0.034905
849,-0.051033,0.016141,-0.034891
850,-0.047557,0.012669,-0.034888
851,-0.044599,0.009710,-0.034889
852,-0.042136,0.007244,-0.034891
853,-0.040126,0.005232,-0.034894
854,-0.038523,0.003627,-0.034897
855,-0.037288,0.002389,-0.034899
856,-0.036386,0.001485,-0.034900
857,-0.035792,0.000891,-0.034901
858,-0.035491,0.000589,-0.034902
859,-0.035474,0.000572,-0.034902
860,-0.035740,0.000838,-0.034901
861,-0.036297,0.001396,-0.034900
862,-0.037160,0.002261,-0.034899
863,-0.038355,0.003458,-0.034897
864,-0.039912,0.005018,-0.034894
865,-0.041873,0.006982,-0.034892
866,-0.044283,0.009394,-0.034889
867,-0.047184,0.012296,-0.034888
868,-0.050602,0.015711,-0.034891
869,-0.054506,0.019603,-0.034903
870,-0.058733,0.023797,-0.034936
871,-0.062836,0.027827,-0.035010
872,-0.065830,0.030679,-0.035151
873,-0.065896,0.030532,-0.035364
874,-0.060595,0.025077,-0.035518
875,-0.049154,0.013911,-0.035243
876,-0.037316,0.002820,-0.034496
877,-0.036022,0.001632,-0.034390
878,-0.046699,0.011576,-0.035123
879,-0.058898,0.023386,-0.035513
880,-0.065383,0.029979,-0.035405
881,-0.066113,0.030928,-0.035186
882,-0.063488,0.028458,-0.035030
883,-0.059489,0.024543,-0.034946
884,-0.055235,0.020328,-0.034907
885,-0.051250,0.016357,-0.034892
886,-0.047733,0.012845,-0.034888
887,-0.044734,0.009845,-0.034889
888,-0.042233,0.007342,-0.034891
889,-0.040189,0.005295,-0.034894
890,-0.038556,0.003660,-0.034896
891,-0.037294,0.002395,-0.034899
892,-0.036368,0.001468,-0.034900
893,-0.035752,0.000851,-0.034901
894,-0.035430,0.000529,-0.034902
895,-0.035393,0.000491,-0.034902
896,-0.035639,0.000738,-0.034901
897,-0.036176,0.001276,-0.034900
898,-0.037018,0.002119,-0.034899
899,-0.038190,0.003293,-0.034897
900,-0.039722,0.004828,-0.034895
901,-0.041656,0.006764,-0.034892
902,-0.044034,0.009145,-0.034889
903,-0.046903,0.012015,-0.034888
904,-0.050287,0.015397,-0.034890
905,-0.054163,0.019262,-0.034902
906,-0.058380,0.023447,-0.034933
907,-0.062517,0.027514,-0.035003
908,-0.065635,0.030496,-0.035139
909,-0.065976,0.030627,-0.035349
910,-0.061104,0.025588,-0.035516
911,-0.049992,0.014711,-0.035282
912,-0.037831,0.003289,-0.034542
913,-0.035594,0.001235,-0.034359
914,-0.045744,0.010670,-0.035074
915,-0.058168,0.022661,-0.035507
916,-0.065096,0.029678,-0.035419
917,-0.066143,0.030944,-0.035199
918,-0.063670,0.028632,-0.035038
919,-0.059718,0.024769,-0.034950
920,-0.055460,0.020551,-0.034909
921,-0.051447,0.016554,-0.034893
922,-0.047896,0.013008,-0.034888
923,-0.044862,0.009973,-0.034889
924,-0.042328,0.007438,-0.034891
925,-0.040256,0.005362,-0.034894
926,-0.038597,0.003701,-0.034896
927,-0.037312,0.002413,-0.034898
928,-0.036365,0.001465,-0.034900
929,-0.035730,0.000829,-0.034901
930,-0.035390,0.000489,-0.034902
931,-0.035336,0.000434,-0.034902
932,-0.035565,0.000663,-0.034901
933,-0.036084,0.001183,-0.034901
934,-0.036907,0.002008,-0.034899
935,-0.038059,0.003162,-0.034897
936,-0.039569,0.004675,-0.034895
937,-0.041478,0.006586,-0.034892
938,-0.043830,0.008940,-0.034889
939,-0.046669,0.011781,-0.034888
940,-0.050024,0.015134,-0.034890
941,-0.053874,0.018974,-0.034901
942,-0.058080,0.023150,-0.034930
943,-0.062243,0.027246,-0.034997
944,-0.065463,0.030334,-0.035129
945,-0.066035,0.030699,-0.035335
946,-0.061534,0.026020,-0.035513
947,-0.050731,0.015417,-0.035314
948,-0.038333,0.003749,-0.034584
949,-0.035279,0.000944,-0.034336
950,-0.044920,0.009891,-0.035030
951,-0.057511,0.022012,-0.035499
952,-0.064830,0.029399,-0.035431
953,-0.066163,0.030952,-0.035211
954,-0.063833,0.028787,-0.035045
955,-0.059927,0.024974,-0.034953
956,-0.055666,0.020756,-0.034910
957,-0.051630,0.016737,-0.034893
958,-0.048049,0.013161,-0.034888
959,-0.044984,0.010096,-0.034888
960,-0.042423,0.007532,-0.034891
961,-0.040324,0.005431,-0.034894
962,-0.038643,0.003747,-0.034896
963,-0.037337,0.002439,-0.034898
964,-0.036371,0.001472,-0.034900
965,-0.035720,0.000819,-0.034901
966,-0.035364,0.000462,-0.034902
967,-0.035293,0.000391,-0.034902
968,-0.035507,0.000605,-0.034901
969,-0.036010,0.001109,-0.034901
970,-0.036817,0.001918,-0.034899
971,-0.037950,0.003053,-0.034897
972,-0.039441,0.004546,-0.034895
973,-0.041327,0.006435,-0.034892
974,-0.043655,0.008765,-0.034889
975,-0.046467,0.011579,-0.034888
976,-0.049795,0.014905,-0.034890
977,-0.053622,0.018722,-0.034900
978,-0.057817,0.022889,-0.034928
979,-0.062000,0.027008,-0.034992
980,-0.065306,0.030187,-0.035120
981,-0.066078,0.030755,-0.035323
982,-0.061908,0.026398,-0.035509
983,-0.051397,0.016056,-0.035341
984,-0.038824,0.004200,-0.034624
985,-0.035044,0.000726,-0.034318
986,-0.044190,0.009202,-0.034989
987,-0.056905,0.021415,-0.035491
988,-0.064576,0.029134,-0.035442
989,-0.066177,0.030955,-0.035222
990,-0.063981,0.028929,-0.035052
991,-0.060122,0.025165,-0.034957
992,-0.055860,0.020948,-0.034912
993,-0.051804,0.016910,-0.034894
994,-0.048196,0.013308,-0.034888
995,-0.045103,0.010215,-0.034888
996,-0.042516,0.007625,-0.034891
997,-0.040394,0.005500,-0.034893
998,-0.038691,0.003795,-0.034896
999,-0.037367,0.002469,-0.034898
